command_id,transcript,intent,expected_title,expected_date,expected_time,reference_date,split
DEV0001,Bây giờ là mấy giờ?,GET_TIME,,,,2026-07-28,development
DEV0002,Mấy giờ rồi?,GET_TIME,,,,2026-07-28,development
DEV0003,Hiện tại là mấy giờ?,GET_TIME,,,,2026-07-28,development
DEV0004,Cho tôi biết giờ hiện tại.,GET_TIME,,,,2026-07-28,development
DEV0005,Đọc giờ hiện tại giúp tôi.,GET_TIME,,,,2026-07-28,development
DEV0006,Báo cho tôi thời gian hiện tại.,GET_TIME,,,,2026-07-28,development
DEV0007,Xin cho biết thời gian hiện tại.,GET_TIME,,,,2026-07-28,development
DEV0008,Bây giờ thời gian là bao nhiêu?,GET_TIME,,,,2026-07-28,development
DEV0009,Bạn cho tôi biết thời gian hiện tại.,GET_TIME,,,,2026-07-28,development
DEV0010,Hiện tại đang là mấy giờ vậy?,GET_TIME,,,,2026-07-28,development
DEV0011,Báo giờ hiện tại cho tôi.,GET_TIME,,,,2026-07-28,development
DEV0012,Đọc thời gian hiện tại.,GET_TIME,,,,2026-07-28,development
DEV0013,Hôm nay tôi có lịch gì?,VIEW_SCHEDULE,,2026-07-28,,2026-07-28,development
DEV0014,Cho tôi xem lịch ngày mai.,VIEW_SCHEDULE,,2026-07-29,,2026-07-28,development
DEV0015,Đọc lịch học của tôi.,VIEW_SCHEDULE,,,,2026-07-28,development
DEV0016,Mở thời khóa biểu của tôi.,VIEW_SCHEDULE,,,,2026-07-28,development
DEV0017,Kiểm tra lịch hôm nay giúp tôi.,VIEW_SCHEDULE,,2026-07-28,,2026-07-28,development
DEV0018,Hiển thị lịch ngày kia.,VIEW_SCHEDULE,,2026-07-30,,2026-07-28,development
DEV0019,Ngày mai tôi có môn gì?,VIEW_SCHEDULE,,2026-07-29,,2026-07-28,development
DEV0020,Xem lịch thứ hai.,VIEW_SCHEDULE,,2026-08-03,,2026-07-28,development
DEV0021,Cho tôi xem thời khóa biểu thứ sáu.,VIEW_SCHEDULE,,2026-07-31,,2026-07-28,development
DEV0022,Lịch của tôi hôm nay có gì?,VIEW_SCHEDULE,,2026-07-28,,2026-07-28,development
DEV0023,Tôi có lịch gì hôm nay?,VIEW_SCHEDULE,,2026-07-28,,2026-07-28,development
DEV0024,Đọc lịch của mình ngày mai.,VIEW_SCHEDULE,,2026-07-29,,2026-07-28,development
DEV0025,Thêm lịch học máy lúc 8 giờ sáng mai.,ADD_SCHEDULE,học máy,2026-07-29,08:00,2026-07-28,development
DEV0026,Tạo lịch ôn xác suất lúc 2 giờ chiều ngày mai.,ADD_SCHEDULE,ôn xác suất,2026-07-29,14:00,2026-07-28,development
DEV0027,Lập lịch làm bài tập lúc 19h hôm nay.,ADD_SCHEDULE,làm bài tập,2026-07-28,19:00,2026-07-28,development
DEV0028,Đặt lịch họp nhóm lúc 9h30 ngày kia.,ADD_SCHEDULE,họp nhóm,2026-07-30,09:30,2026-07-28,development
