audio_id,audio_path,processed_audio_path,success
15725,dev/3ad59c437df9f88fb73aa7836be03236.wav,processed/v1/audio/dev/3ad59c437df9f88fb73aa7836be03236.wav,True
8372,dev/9bb610ed02974acd847eb7730f910235.wav,processed/v1/audio/dev/9bb610ed02974acd847eb7730f910235.wav,True
16570,dev/c49416ed116437e83d89d9319a2736d8.wav,processed/v1/audio/dev/c49416ed116437e83d89d9319a2736d8.wav,True
8072,dev/5db14ad2feaa9a898249d89e643cedc0.wav,processed/v1/audio/dev/5db14ad2feaa9a898249d89e643cedc0.wav,True
13384,dev/2c8a885c31eb6345db91d90158c2347d.wav,processed/v1/audio/dev/2c8a885c31eb6345db91d90158c2347d.wav,True
4723,dev/4eccc049a8c90a634134b2d36147cdac.wav,processed/v1/audio/dev/4eccc049a8c90a634134b2d36147cdac.wav,True
10666,dev/b0fccb95306b4e99de9c54c49f1d4588.wav,processed/v1/audio/dev/b0fccb95306b4e99de9c54c49f1d4588.wav,True
10924,dev/3e5c690b3011dada2171a0c847b88237.wav,processed/v1/audio/dev/3e5c690b3011dada2171a0c847b88237.wav,True
12352,dev/f59478315ad2f5b86c568c864cedb767.wav,processed/v1/audio/dev/f59478315ad2f5b86c568c864cedb767.wav,True
12715,dev/8a6095d09fb3ebe2acf66df78da8af24.wav,processed/v1/audio/dev/8a6095d09fb3ebe2acf66df78da8af24.wav,True
5666,dev/fa749c13aaf2b13ee4ceef66a2d0e2df.wav,processed/v1/audio/dev/fa749c13aaf2b13ee4ceef66a2d0e2df.wav,True
12533,dev/7c212a77d5e79b0043b40b0b178e70a0.wav,processed/v1/audio/dev/7c212a77d5e79b0043b40b0b178e70a0.wav,True
4971,dev/512e5d85b9cd20cabe606e5c6c307119.wav,processed/v1/audio/dev/512e5d85b9cd20cabe606e5c6c307119.wav,True
16929,dev/fcf4ac4be1ed13f0c36fe7f34ec64c7f.wav,processed/v1/audio/dev/fcf4ac4be1ed13f0c36fe7f34ec64c7f.wav,True
8788,dev/ed6ae9c008a6f579fa6c66cccdea75d8.wav,processed/v1/audio/dev/ed6ae9c008a6f579fa6c66cccdea75d8.wav,True
3701,dev/dd6d3ba0c684ecafd5b132a6741933ce.wav,processed/v1/audio/dev/dd6d3ba0c684ecafd5b132a6741933ce.wav,True
8751,dev/b7c51e19ad3f7f8c40d30cf0f17f592d.wav,processed/v1/audio/dev/b7c51e19ad3f7f8c40d30cf0f17f592d.wav,True
2140,dev/de922906d358b91c5e282d8e4ef4fa2a.wav,processed/v1/audio/dev/de922906d358b91c5e282d8e4ef4fa2a.wav,True
15294,dev/135809789a4dc4615f9825172e9d2245.wav,processed/v1/audio/dev/135809789a4dc4615f9825172e9d2245.wav,True
10293,dev/cd4f783e917713c1ed23099c45298367.wav,processed/v1/audio/dev/cd4f783e917713c1ed23099c45298367.wav,True
9736,dev/97087093a1263b0e5dbc49a2348ba910.wav,processed/v1/audio/dev/97087093a1263b0e5dbc49a2348ba910.wav,True
708,dev/f917261a23cf166a37944468c2a901c2.wav,processed/v1/audio/dev/f917261a23cf166a37944468c2a901c2.wav,True
