threshold,FAR,FRR,accuracy,F1,eer_gap,mean_error,selected
-0.09654515,1.00000000,0.00000000,0.33333333,0.50000000,1.00000000,0.50000000,false
-0.04478346,0.96666667,0.00000000,0.35555556,0.50847458,0.96666667,0.48333333,false
0.00889977,0.93333333,0.00000000,0.37777778,0.51724138,0.93333333,0.46666667,false
0.02117675,0.90000000,0.00000000,0.40000000,0.52631579,0.90000000,0.45000000,false
0.05520411,0.86666667,0.00000000,0.42222222,0.53571429,0.86666667,0.43333333,false
0.09842610,0.83333333,0.00000000,0.44444444,0.54545455,0.83333333,0.41666667,false
0.12102480,0.80000000,0.00000000,0.46666667,0.55555556,0.80000000,0.40000000,false
0.13339178,0.76666667,0.00000000,0.48888889,0.56603774,0.76666667,0.38333333,false
0.14718017,0.73333333,0.00000000,0.51111111,0.57692308,0.73333333,0.36666667,false
0.15207462,0.70000000,0.00000000,0.53333333,0.58823529,0.70000000,0.35000000,false
0.15629673,0.66666667,0.00000000,0.55555556,0.60000000,0.66666667,0.33333333,false
0.16015205,0.63333333,0.00000000,0.57777778,0.61224490,0.63333333,0.31666667,false
0.16660098,0.60000000,0.00000000,0.60000000,0.62500000,0.60000000,0.30000000,false
0.17548726,0.56666667,0.00000000,0.62222222,0.63829787,0.56666667,0.28333333,false
0.17802530,0.53333333,0.00000000,0.64444444,0.65217391,0.53333333,0.26666667,false
0.18379266,0.50000000,0.00000000,0.66666667,0.66666667,0.50000000,0.25000000,false
0.19530857,0.46666667,0.00000000,0.68888889,0.68181818,0.46666667,0.23333333,false
0.20158412,0.43333333,0.00000000,0.71111111,0.69767442,0.43333333,0.21666667,false
0.21401907,0.40000000,0.00000000,0.73333333,0.71428571,0.40000000,0.20000000,false
0.23293318,0.36666667,0.00000000,0.75555556,0.73170732,0.36666667,0.18333333,false
0.26233290,0.33333333,0.00000000,0.77777778,0.75000000,0.33333333,0.16666667,false
0.29921485,0.30000000,0.00000000,0.80000000,0.76923077,0.30000000,0.15000000,false
0.34257667,0.26666667,0.00000000,0.82222222,0.78947368,0.26666667,0.13333333,false
0.38710187,0.23333333,0.00000000,0.84444444,0.81081081,0.23333333,0.11666667,false
0.40876442,0.20000000,0.00000000,0.86666667,0.83333333,0.20000000,0.10000000,false
0.41851529,0.16666667,0.00000000,0.88888889,0.85714286,0.16666667,0.08333333,false
0.42227283,0.13333333,0.00000000,0.91111111,0.88235294,0.13333333,0.06666667,false
0.42536926,0.10000000,0.00000000,0.93333333,0.90909091,0.10000000,0.05000000,false
0.43241228,0.06666667,0.00000000,0.95555556,0.93750000,0.06666667,0.03333333,false
0.46882655,0.03333333,0.00000000,0.97777778,0.96774194,0.03333333,0.01666667,true
0.52125049,0.03333333,0.06666667,0.95555556,0.93333333,0.03333333,0.05000000,false
0.56994694,0.00000000,0.06666667,0.97777778,0.96551724,0.06666667,0.03333333,false
0.60326600,0.00000000,0.13333333,0.95555556,0.92857143,0.13333333,0.06666667,false
0.61794701,0.00000000,0.20000000,0.93333333,0.88888889,0.20000000,0.10000000,false
0.63707614,0.00000000,0.26666667,0.91111111,0.84615385,0.26666667,0.13333333,false
0.64998254,0.00000000,0.33333333,0.88888889,0.80000000,0.33333333,0.16666667,false
0.66468763,0.00000000,0.40000000,0.86666667,0.75000000,0.40000000,0.20000000,false
0.69145125,0.00000000,0.46666667,0.84444444,0.69565217,0.46666667,0.23333333,false
0.71374369,0.00000000,0.53333333,0.82222222,0.63636364,0.53333333,0.26666667,false
0.72557902,0.00000000,0.60000000,0.80000000,0.57142857,0.60000000,0.30000000,false
0.73392922,0.00000000,0.66666667,0.77777778,0.50000000,0.66666667,0.33333333,false
0.74472639,0.00000000,0.73333333,0.75555556,0.42105263,0.73333333,0.36666667,false
0.76587978,0.00000000,0.80000000,0.73333333,0.33333333,0.80000000,0.40000000,false
0.78321466,0.00000000,0.86666667,0.71111111,0.23529412,0.86666667,0.43333333,false
0.79597917,0.00000000,0.93333333,0.68888889,0.12500000,0.93333333,0.46666667,false
0.80469684,0.00000000,1.00000000,0.66666667,0.00000000,1.00000000,0.50000000,false
