test_case_id,scenario,latency_ms,execution_mode
SYS001,time_normal,1.535400,deterministic_integration_contract
SYS002,time_morning,1.332500,deterministic_integration_contract
SYS003,time_evening,1.706700,deterministic_integration_contract
SYS004,time_with_user_claim,1.697300,deterministic_integration_contract
SYS005,view_all,6.503600,deterministic_integration_contract
SYS006,view_by_date,6.699500,deterministic_integration_contract
SYS007,view_claim_other,7.304500,deterministic_integration_contract
SYS008,unknown_view,0.826000,deterministic_integration_contract
SYS009,no_enrollment,0.703300,deterministic_integration_contract
SYS010,bad_audio_view,1.446900,deterministic_integration_contract
SYS011,add_valid,25.068900,deterministic_integration_contract
SYS012,add_claim_other,19.288100,deterministic_integration_contract
SYS013,missing_title,0.780900,deterministic_integration_contract
SYS014,missing_date,0.736700,deterministic_integration_contract
SYS015,missing_time,1.729500,deterministic_integration_contract
SYS016,unknown_add,1.728400,deterministic_integration_contract
SYS017,empty_transcript_add,0.658400,deterministic_integration_contract
SYS018,private_valid,15.752700,deterministic_integration_contract
SYS019,private_claim_other,10.941300,deterministic_integration_contract
SYS020,impostor,0.987200,deterministic_integration_contract
SYS021,unknown_private,0.771300,deterministic_integration_contract
SYS022,sv_missing_centroid,2.371900,deterministic_integration_contract
SYS023,sv_exception,1.290300,deterministic_integration_contract
SYS024,sid_exception,3.117500,deterministic_integration_contract
SYS025,music,0.742700,deterministic_integration_contract
SYS026,weather,0.813200,deterministic_integration_contract
SYS027,phone,1.588500,deterministic_integration_contract
SYS028,empty_transcript_oos,1.956300,deterministic_integration_contract
SYS029,asr_failure,1.523800,deterministic_integration_contract
SYS030,unsupported,1.326500,deterministic_integration_contract
