,voxvi_spk_0001,voxvi_spk_0002,voxvi_spk_0003,voxvi_spk_0004,voxvi_spk_0005,voxvi_spk_0006,voxvi_spk_0007,voxvi_spk_0008,voxvi_spk_0009,voxvi_spk_0010,voxvi_spk_0011,voxvi_spk_0012,voxvi_spk_0013,voxvi_spk_0014,voxvi_spk_0015,voxvi_spk_0016,voxvi_spk_0017,voxvi_spk_0018,voxvi_spk_0019,voxvi_spk_0020,voxvi_spk_0021,voxvi_spk_0022,voxvi_spk_0023,voxvi_spk_0024,voxvi_spk_0025,voxvi_spk_0026,voxvi_spk_0027,voxvi_spk_0028,voxvi_spk_0029,voxvi_spk_0030,voxvi_spk_0031,voxvi_spk_0032,voxvi_spk_0033,voxvi_spk_0034,voxvi_spk_0035,voxvi_spk_0036,voxvi_spk_0037,voxvi_spk_0038,voxvi_spk_0039,voxvi_spk_0040,voxvi_spk_0041,voxvi_spk_0042,voxvi_spk_0043,voxvi_spk_0044,voxvi_spk_0045,voxvi_spk_0046,voxvi_spk_0047,voxvi_spk_0048,voxvi_spk_0049,voxvi_spk_0050,voxvi_spk_0051,voxvi_spk_0052,voxvi_spk_0053,voxvi_spk_0054,voxvi_spk_0055,voxvi_spk_0056,voxvi_spk_0057,voxvi_spk_0058,voxvi_spk_0059,voxvi_spk_0060,voxvi_spk_0061,voxvi_spk_0062,voxvi_spk_0063,voxvi_spk_0064,voxvi_spk_0065,voxvi_spk_0066,voxvi_spk_0067,voxvi_spk_0068,voxvi_spk_0069,voxvi_spk_0070,voxvi_spk_0071,voxvi_spk_0072,voxvi_spk_0073,voxvi_spk_0074,voxvi_spk_0075,voxvi_spk_0076,voxvi_spk_0077,voxvi_spk_0078,voxvi_spk_0079,voxvi_spk_0080,voxvi_spk_0081,voxvi_spk_0082,voxvi_spk_0083,voxvi_spk_0084,voxvi_spk_0085,voxvi_spk_0086,voxvi_spk_0087,voxvi_spk_0088,voxvi_spk_0089,voxvi_spk_0090,voxvi_spk_0091,voxvi_spk_0092,voxvi_spk_0093,voxvi_spk_0094,voxvi_spk_0095,voxvi_spk_0096,voxvi_spk_0097,voxvi_spk_0098,voxvi_spk_0099,voxvi_spk_0100,voxvi_spk_0101,voxvi_spk_0102,voxvi_spk_0103,voxvi_spk_0104,voxvi_spk_0105,voxvi_spk_0106,voxvi_spk_0107,voxvi_spk_0108,voxvi_spk_0109,voxvi_spk_0110,voxvi_spk_0111,voxvi_spk_0112,voxvi_spk_0113,voxvi_spk_0114,voxvi_spk_0115,voxvi_spk_0116,voxvi_spk_0117,voxvi_spk_0118,voxvi_spk_0119,voxvi_spk_0120,voxvi_spk_0121,voxvi_spk_0122,voxvi_spk_0123,voxvi_spk_0124,voxvi_spk_0125,voxvi_spk_0126,voxvi_spk_0127,voxvi_spk_0128,voxvi_spk_0129,voxvi_spk_0130,voxvi_spk_0131,voxvi_spk_0132,voxvi_spk_0133,voxvi_spk_0134,voxvi_spk_0135,voxvi_spk_0136,voxvi_spk_0137,voxvi_spk_0138,voxvi_spk_0139,voxvi_spk_0140,voxvi_spk_0141,voxvi_spk_0142,voxvi_spk_0143,voxvi_spk_0144,voxvi_spk_0145,voxvi_spk_0146,voxvi_spk_0147,voxvi_spk_0148,voxvi_spk_0149,voxvi_spk_0150,voxvi_spk_0151,voxvi_spk_0152,voxvi_spk_0153,voxvi_spk_0154,voxvi_spk_0155,voxvi_spk_0156,voxvi_spk_0157,voxvi_spk_0158,voxvi_spk_0159,voxvi_spk_0160,voxvi_spk_0161,voxvi_spk_0162,voxvi_spk_0163,voxvi_spk_0164,voxvi_spk_0165,voxvi_spk_0166,voxvi_spk_0167,voxvi_spk_0168,voxvi_spk_0169,voxvi_spk_0170,voxvi_spk_0171,voxvi_spk_0172,voxvi_spk_0173,voxvi_spk_0174,voxvi_spk_0175,voxvi_spk_0176,voxvi_spk_0177,voxvi_spk_0178,voxvi_spk_0179,voxvi_spk_0180,voxvi_spk_0181,voxvi_spk_0182,voxvi_spk_0183,voxvi_spk_0184,voxvi_spk_0185,voxvi_spk_0186,voxvi_spk_0187,voxvi_spk_0188,voxvi_spk_0189,voxvi_spk_0190,voxvi_spk_0191,voxvi_spk_0192,voxvi_spk_0193,voxvi_spk_0194,voxvi_spk_0195,voxvi_spk_0196,voxvi_spk_0197,voxvi_spk_0198,voxvi_spk_0199,voxvi_spk_0200,voxvi_spk_0201,voxvi_spk_0202,voxvi_spk_0203,voxvi_spk_0204,voxvi_spk_0205,voxvi_spk_0206,voxvi_spk_0207,voxvi_spk_0208,voxvi_spk_0209,voxvi_spk_0210,voxvi_spk_0211,voxvi_spk_0212,voxvi_spk_0213,voxvi_spk_0214,voxvi_spk_0215,voxvi_spk_0216,voxvi_spk_0217,voxvi_spk_0218,voxvi_spk_0219,voxvi_spk_0220,voxvi_spk_0221,voxvi_spk_0222,voxvi_spk_0223,voxvi_spk_0224,voxvi_spk_0225,voxvi_spk_0226,voxvi_spk_0227,voxvi_spk_0228,voxvi_spk_0229,voxvi_spk_0230
voxvi_spk_0001,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0002,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0003,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0004,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0005,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0006,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0007,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0008,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0009,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voxvi_spk_0010,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
